iter	Passed	Remaining
0	2	242
1	4	217
2	6	212
3	8	196
4	10	193
5	12	195
6	14	192
7	16	186
8	17	177
9	18	169
10	20	162
11	21	157
12	22	152
13	24	147
14	25	143
15	26	140
16	28	136
17	29	133
18	30	130
19	31	127
20	32	123
21	33	120
22	34	116
23	35	113
24	36	110
25	38	108
26	39	105
27	40	103
28	41	101
29	42	98
30	43	96
31	44	94
32	45	92
33	46	90
34	47	88
35	48	86
36	49	84
37	50	83
38	52	81
39	53	79
40	54	78
41	54	75
42	55	74
43	56	72
44	57	70
45	59	69
46	60	67
47	61	66
48	62	64
49	63	63
50	64	61
51	65	60
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	71	51
58	72	50
59	73	49
60	74	47
61	75	46
62	76	45
63	77	43
64	78	42
65	79	41
66	80	39
67	81	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	104	14
88	107	13
89	109	12
90	111	10
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
