iter	Passed	Remaining
0	144	144413
1	146	72906
2	147	49023
3	148	37094
4	154	30799
5	158	26219
6	159	22651
7	161	20031
8	163	17956
9	164	16275
10	170	15322
11	172	14166
12	173	13187
13	175	12348
14	176	11597
15	177	10931
16	178	10342
17	184	10049
18	185	9598
19	187	9178
20	188	8781
21	189	8424
22	190	8101
23	191	7807
24	193	7536
25	198	7424
26	200	7228
27	201	7009
28	203	6800
29	204	6608
30	205	6430
31	206	6259
32	208	6100
33	213	6072
34	214	5922
35	215	5781
36	217	5656
37	218	5539
38	220	5431
39	221	5316
40	222	5209
41	226	5164
42	228	5087
43	229	4992
44	230	4901
45	232	4812
46	233	4728
47	234	4647
48	235	4572
49	236	4499
50	241	4493
51	242	4429
52	244	4375
53	246	4314
54	247	4250
55	248	4188
56	249	4128
57	250	4071
58	251	4016
59	257	4027
60	258	3983
61	260	3935
62	261	3888
63	262	3840
64	263	3793
65	264	3748
66	265	3703
67	266	3658
68	271	3669
69	273	3627
70	274	3587
71	275	3546
72	276	3507
73	277	3470
74	278	3433
75	279	3399
76	280	3366
77	282	3333
78	328	3831
79	330	3799
80	331	3765
81	337	3783
82	338	3741
83	340	3712
84	341	3681
85	343	3651
86	345	3621
87	379	3934
88	385	3949
89	388	3929
90	390	3897
91	391	3865
92	393	3834
93	394	3804
94	434	4140
95	438	4126
96	439	4095
97	441	4063
98	442	4031
99	447	4028
100	450	4010
101	452	3981
102	453	3952
103	455	3925
104	457	3898
105	458	3870
106	465	3883
107	466	3856
108	468	3829
109	470	3802
110	474	3798
111	481	3819
112	483	3793
113	484	3768
114	486	3743
115	487	3718
116	489	3691
117	499	3734
118	501	3711
119	502	3688
120	504	3664
121	505	3638
122	517	3687
123	520	3673
124	527	3695
125	532	3695
126	534	3672
127	535	3650
128	537	3630
129	540	3616
130	541	3594
131	543	3571
132	544	3548
133	589	3812
134	591	3789
135	593	3768
136	595	3748
137	596	3727
138	608	3766
139	609	3745
140	611	3724
141	612	3699
142	620	3716
143	622	3698
144	623	3678
145	625	3657
146	626	3635
147	627	3613
148	633	3620
149	635	3599
150	636	3578
151	637	3557
152	638	3536
153	640	3515
154	641	3494
155	642	3474
156	643	3454
157	649	3462
158	651	3445
159	652	3426
160	653	3405
161	655	3388
162	656	3369
163	657	3350
164	658	3332
165	666	3347
166	667	3330
167	668	3311
168	669	3294
169	670	3275
170	672	3258
171	673	3240
172	677	3237
173	680	3228
174	681	3212
175	682	3195
176	683	3179
177	684	3162
178	685	3146
179	686	3129
180	688	3113
181	693	3115
182	694	3100
183	695	3085
184	697	3070
185	698	3055
186	699	3041
187	700	3025
188	701	3010
189	702	2995
190	703	2981
191	707	2978
192	709	2966
193	711	2955
194	712	2941
195	713	2927
196	714	2913
197	715	2899
198	716	2885
199	717	2871
200	718	2858
201	720	2848
202	722	2836
203	723	2822
204	724	2809
205	725	2796
206	726	2783
207	727	2770
208	728	2757
209	729	2745
210	736	2753
211	737	2741
212	738	2729
213	739	2717
214	740	2704
215	741	2692
216	742	2680
217	744	2668
218	749	2671
219	750	2660
220	751	2648
221	752	2637
222	753	2625
223	754	2614
224	755	2603
225	757	2592
226	758	2581
227	759	2570
228	760	2559
229	764	2558
230	766	2550
231	767	2540
232	768	2529
233	769	2519
234	770	2508
235	771	2498
236	772	2488
237	773	2477
238	774	2467
239	780	2471
240	782	2463
241	783	2454
242	784	2444
243	785	2434
244	786	2424
245	787	2414
246	788	2404
247	789	2395
248	793	2393
249	795	2387
250	797	2380
251	799	2372
252	800	2365
253	802	2356
254	803	2346
255	804	2337
256	805	2328
257	810	2330
258	811	2321
259	812	2312
260	813	2303
261	814	2294
262	815	2285
263	816	2277
264	817	2268
265	818	2259
266	820	2251
267	823	2247
268	824	2240
269	825	2232
270	827	2227
271	829	2219
272	830	2211
273	831	2203
274	832	2195
275	834	2187
276	835	2179
277	840	2183
278	842	2177
279	843	2169
280	844	2161
281	845	2153
282	846	2145
283	848	2137
284	849	2130
285	850	2122
286	854	2123
287	856	2117
288	857	2110
289	859	2103
290	860	2095
291	861	2088
292	862	2080
293	863	2073
294	864	2066
295	865	2059
296	867	2052
297	868	2045
298	870	2039
299	871	2034
300	873	2028
301	875	2022
302	883	2033
303	886	2029
304	888	2025
305	890	2019
306	892	2013
307	904	2031
308	905	2025
309	907	2019
310	915	2029
311	917	2023
312	919	2017
313	920	2010
314	921	2003
315	922	1997
316	929	2001
317	930	1995
318	931	1989
319	933	1982
320	934	1976
321	935	1970
322	936	1963
323	937	1956
324	938	1950
325	945	1954
326	946	1947
327	947	1941
328	948	1934
329	949	1928
330	950	1922
331	952	1915
332	953	1909
333	954	1902
334	960	1906
335	962	1901
336	963	1895
337	964	1889
338	965	1882
339	967	1877
340	968	1871
341	969	1865
342	975	1867
343	976	1862
344	977	1856
345	979	1850
346	980	1845
347	982	1839
348	983	1834
349	984	1828
350	990	1831
351	991	1825
352	992	1819
353	993	1813
354	994	1807
355	995	1801
356	996	1795
357	998	1789
358	999	1784
359	1002	1782
360	1003	1777
361	1008	1778
362	1010	1773
363	1013	1770
364	1014	1765
365	1022	1771
366	1024	1767
367	1025	1761
368	1027	1756
369	1028	1751
370	1030	1746
371	1037	1751
372	1039	1746
373	1040	1741
374	1041	1736
375	1043	1732
376	1045	1727
377	1050	1728
378	1053	1726
379	1055	1722
380	1057	1718
381	1059	1714
382	1066	1717
383	1069	1714
384	1070	1710
385	1072	1706
386	1075	1702
387	1080	1704
388	1084	1703
389	1088	1702
390	1089	1697
391	1092	1694
392	1094	1689
393	1111	1709
394	1126	1725
395	1128	1721
396	1142	1734
397	1144	1730
398	1160	1747
399	1163	1745
400	1174	1753
401	1179	1754
402	1191	1765
403	1194	1761
404	1195	1756
405	1209	1769
406	1211	1765
407	1225	1778
408	1227	1773
409	1243	1789
410	1258	1803
411	1260	1798
412	1274	1811
413	1288	1823
414	1289	1818
415	1301	1826
416	1303	1822
417	1305	1817
418	1306	1812
419	1319	1821
420	1321	1817
421	1323	1813
422	1337	1824
423	1350	1834
424	1352	1830
425	1354	1825
426	1356	1819
427	1358	1815
428	1360	1811
429	1363	1806
430	1372	1812
431	1376	1809
432	1379	1806
433	1393	1817
434	1405	1826
435	1408	1822
436	1411	1818
437	1424	1827
438	1426	1823
439	1437	1829
440	1438	1824
441	1440	1818
442	1441	1812
443	1443	1807
444	1456	1816
445	1457	1810
446	1459	1805
447	1471	1812
448	1472	1807
449	1474	1802
450	1485	1807
451	1487	1804
452	1490	1799
453	1502	1806
454	1503	1801
455	1505	1795
456	1519	1804
457	1521	1800
458	1522	1794
459	1535	1802
460	1537	1797
461	1546	1801
462	1549	1797
463	1552	1792
464	1553	1787
465	1555	1782
466	1558	1778
467	1559	1773
468	1561	1768
469	1563	1763
470	1575	1769
471	1577	1764
472	1578	1758
473	1579	1753
474	1590	1758
475	1593	1753
476	1595	1749
477	1603	1751
478	1605	1746
479	1607	1741
480	1608	1735
481	1610	1730
482	1616	1730
483	1619	1727
484	1622	1722
485	1624	1718
486	1626	1713
487	1634	1714
488	1637	1711
489	1638	1705
490	1640	1700
491	1641	1694
492	1644	1691
493	1649	1689
494	1651	1684
495	1652	1679
496	1654	1674
497	1664	1677
498	1665	1672
499	1667	1667
500	1669	1663
501	1671	1658
502	1675	1655
503	1678	1652
504	1681	1648
505	1684	1644
506	1695	1648
507	1697	1644
508	1700	1640
509	1709	1641
510	1712	1638
511	1714	1633
512	1716	1629
513	1724	1630
514	1726	1625
515	1728	1621
516	1731	1617
517	1732	1612
518	1738	1611
519	1743	1609
520	1745	1605
521	1747	1600
522	1754	1600
523	1757	1596
524	1760	1592
525	1761	1587
526	1763	1582
527	1771	1583
528	1773	1579
529	1775	1574
530	1778	1570
531	1779	1565
532	1782	1561
533	1792	1564
534	1793	1559
535	1795	1554
536	1796	1549
537	1797	1543
538	1809	1547
539	1811	1543
540	1818	1542
541	1821	1539
542	1824	1535
543	1826	1530
544	1827	1525
545	1829	1521
546	1832	1517
547	1834	1513
548	1836	1508
549	1838	1504
550	1845	1503
551	1847	1499
552	1849	1494
553	1851	1490
554	1862	1493
555	1864	1488
556	1866	1484
557	1867	1479
558	1869	1474
559	1878	1475
560	1879	1470
561	1880	1465
562	1882	1460
563	1883	1456
564	1884	1451
565	1892	1450
566	1893	1446
567	1894	1441
568	1896	1436
569	1898	1432
570	1899	1427
571	1905	1425
572	1908	1422
573	1911	1418
574	1912	1413
575	1914	1409
576	1922	1409
577	1926	1406
578	1929	1402
579	1932	1399
580	1939	1399
581	1941	1394
582	1943	1389
583	1944	1385
584	1946	1380
585	1947	1375
586	1948	1371
587	1950	1366
588	1952	1362
589	1953	1357
590	1954	1352
591	1955	1348
592	1957	1343
593	1964	1342
594	1967	1339
595	1968	1334
596	1970	1330
597	1971	1325
598	1973	1320
599	1981	1320
600	1982	1316
601	1984	1311
602	1985	1307
603	1987	1303
604	1996	1303
605	1998	1299
606	1999	1294
607	2000	1290
608	2002	1285
609	2003	1281
610	2009	1279
611	2010	1274
612	2011	1269
613	2012	1265
614	2014	1260
615	2015	1256
616	2016	1251
617	2018	1247
618	2019	1242
619	2024	1240
620	2028	1237
621	2029	1233
622	2030	1229
623	2032	1224
624	2034	1220
625	2040	1219
626	2043	1215
627	2044	1211
628	2047	1207
629	2049	1203
630	2058	1203
631	2059	1199
632	2061	1195
633	2063	1191
634	2064	1186
635	2069	1184
636	2071	1180
637	2072	1175
638	2073	1171
639	2075	1167
640	2076	1162
641	2077	1158
